dteday,yr,mnth,holiday,weekday,workingday,temp,hum,windspeed,is_weekend,cnt_lag_7,season_2,season_3,season_4,weathersit_2,weathersit_3,cnt
2011-01-08,0,1,0,6,0,-1.8280305692071388,-0.6507499037085915,0.9816162334909359,1,-1.8421175885910068,False,False,False,True,False,959
2011-01-09,0,1,0,0,0,-1.9745169634990039,-1.3649821296948372,2.2069712509290245,0,-1.9377150099807714,False,False,False,False,False,822
2011-01-10,0,1,0,1,1,-1.9058523244826797,-1.0224996771853507,0.42091708277307016,0,-1.6530009506242986,False,False,False,False,False,1321
2011-01-11,0,1,0,2,1,-1.8055580061498762,0.4067726821110096,-0.8815683573778671,0,-1.542336544341582,False,False,False,True,False,1263
2011-01-12,0,1,0,3,1,-1.7855848359528077,-0.20315519572327004,1.468726598872148,0,-1.5225935986197827,False,False,False,False,False,1162
2011-01-13,0,1,0,4,1,-1.8280305692071388,-1.110315690649322,1.4220156215504747,0,-1.5194762914005513,False,False,False,False,False,1406
2011-01-14,0,1,0,5,1,-1.850717365938132,-0.6367485185218958,-0.8246961004568554,1,-1.5693532069082545,False,False,False,False,False,1421
2011-01-15,0,1,0,6,0,-1.4526657069749407,-0.9112684018913463,-0.42011232528167664,1,-1.855625919874343,False,False,False,True,False,1248
2011-01-16,0,1,0,0,0,-1.4618173300630364,-1.0166476180481114,-0.027698903999241704,0,-1.9268044347134612,False,False,False,False,False,1204
2011-01-17,0,1,1,1,0,-1.7685230464500317,-0.6390387601530365,0.044215652759574155,0,-1.6675483843140453,False,False,False,True,False,1000
2011-01-18,0,1,0,2,1,-1.5442148968826253,1.63832553077297,-0.5641990124266679,0,-1.6976823540999495,False,False,False,True,False,683
2011-01-19,0,1,0,3,1,-1.1294420250261787,0.7957976217564015,0.22838079632172786,0,-1.750157025623679,False,False,False,True,False,1650
2011-01-20,0,1,0,4,1,-1.2970221964238589,-0.6331867010157977,0.06851772450095764,0,-1.6233865320415999,False,False,False,True,False,1927
2011-01-21,0,1,0,5,1,-1.7593659301908147,-1.2039907885316086,2.0948236935766307,1,-1.615593263993521,False,False,False,False,False,1543
2011-01-22,0,1,0,6,0,-2.4095903985513485,-1.605014908256717,-0.23972063536034174,1,-1.705475622148028,False,False,False,False,False,981
2011-01-23,0,1,0,0,0,-2.2041935892032622,-1.3484375927582253,0.7214153551322123,0,-1.7283358750890587,False,False,False,False,False,986
